ID,SEX,AGE,RACE,MARITAL,SIBS,CHILDS,HOMPOP,ADULTS,BABIES,EDUC,MAEDUC,PAEDUC,SPEDUC,RINCOME,INCOME,WRKSTAT,YEARSJOB,WRKGOVT,WRKSLF,SPWRKSTA,SATJOB1,HEALTH,HAPPY,VOTE12,VOTE16,PRES12,PRES16,OWNGUN,HELL,HEAVEN,ODDS1,ODDS2
1787,2,30,1,1,2,2,4,2,2,16,16,14,19,12,12,1,3,2,2,1,1,2,1,2,1,0,4,1,1,1,2,1
1789,1,48,1,3,7,0,1,1,0,16,14,12,0,12,12,1,21,2,2,0,2,2,2,1,1,2,2,1,1,1,2,1
1790,2,60,1,1,6,2,2,2,0,16,12,12,20,2,12,2,0.75,2,2,1,1,1,1,1,1,2,2,1,1,1,2,1
1795,2,31,1,5,2,1,2,1,0,13,16,12,0,0,8,7,-1,2,2,0,0,2,2,2,2,0,0,2,1,1,2,1
1803,1,66,1,1,6,5,2,2,0,16,16,16,20,12,12,1,15,1,2,1,1,2,2,1,1,1,2,1,1,1,2,1
1810,1,59,1,1,1,1,3,3,0,19,12,12,16,12,12,1,5,2,1,1,1,1,1,1,1,1,2,2,4,4,2,1
1811,1,55,1,1,3,4,2,2,0,14,18,0,16,12,12,1,13,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1
1813,1,85,1,2,2,2,1,1,0,14,12,0,0,0,12,5,-1,2,2,0,0,1,1,2,2,0,0,1,3,1,2,1
1816,1,77,1,2,7,6,1,1,0,12,11,10,0,0,12,5,-1,2,1,0,0,3,2,1,1,2,2,2,1,1,2,1
1819,1,66,1,3,3,2,1,1,0,14,12,12,0,0,10,8,-1,2,2,0,0,4,3,1,1,1,1,2,4,4,2,1
1822,1,45,1,3,1,1,1,1,0,17,14,14,0,12,12,1,6,2,2,0,1,1,1,1,1,2,2,1,1,1,2,1
1832,2,49,2,5,3,2,3,2,0,16,13,0,0,12,12,1,10,1,2,0,2,2,2,1,1,1,1,2,2,1,1,2
1835,1,23,2,5,2,1,2,2,0,12,12,0,0,0,11,1,0.75,2,2,0,2,1,2,3,2,0,0,2,1,1,2,1
1837,2,73,1,1,2,3,2,2,0,14,3,11,14,11,12,2,20,2,2,5,1,3,1,1,1,2,2,1,1,1,2,1
1843,2,70,1,5,2,0,1,1,0,13,7,12,0,0,6,5,-1,2,2,0,0,2,2,1,1,2,2,2,2,1,2,1
1848,2,64,1,3,4,2,2,2,0,12,0,16,0,12,12,1,11,1,2,0,2,2,2,1,1,2,2,2,1,1,2,1
1852,2,24,1,5,4,1,2,1,1,12,13,13,0,3,2,1,1,2,2,0,2,2,3,3,2,0,0,2,1,1,2,2
1854,2,28,1,1,3,1,3,2,1,10,6,6,11,0,12,7,-1,2,2,1,0,2,1,2,1,0,1,2,2,1,1,2
1859,2,33,3,1,4,0,2,2,0,12,6,9,12,10,11,1,6,2,2,1,2,2,1,2,2,0,0,2,1,1,2,1
1864,1,77,1,3,1,2,1,1,0,11,12,11,0,12,12,2,45,2,1,0,1,2,2,1,1,2,2,1,3,3,2,2
1869,2,39,1,5,1,2,4,3,0,19,18,11,0,0,12,8,-1,1,2,0,0,4,3,1,1,1,1,2,2,2,2,1
1871,1,49,3,3,4,4,2,2,0,13,5,5,0,12,12,1,2,2,2,0,2,2,2,1,2,1,0,1,1,1,1,1
